brand_id,about,facebook,favourites_count,image_name,image,instagram,name,rating,review_count,slug,twitter,url,website,title,license_number,license_state,address,city,state,postal_code,phone_number,email,longitude,latitude
2548,"At Zapt, we create delicious edibles that celebrate the healing power of cannabis while providing an incredible sensory experience. We happen to believe these two notions aren’t mutually exclusive! 
 
We also like to provide interesting twists on well-loved comfort foods like our HempCon Award-winning Peanut Brittle infused with Pepper Bacon or our Spicy Zapt Mix with Sriracha and Cayenne!
 
All our Zapt products are proudly made in the East Bay, using the freshest possible ingredients, no preservatives, and a Sativa-dominant Hybrid CO2 sourced from Mendocino and tested by Anresco Labs. Our 7 Layer Bites, Bacon Peanut Brittle, and Flourless Chocolate Tortes contain only 7 ingredients each (including Cannabis,) while our Spicy Zapt Mix is recommended for patients seeking an edible with less refined sugar. And both our Bacon Peanut Brittle and Flourless Chocolate Tortes are gluten-free! 
 
Zapt’s 7 Layer Bites, Bacon Peanut Brittle, and Flourless Chocolate Tortes are happiest refrigerated for up to a month or kept in a cool, dry place; all three may be frozen happily for up to three months, while our Spicy Zapt Mix is delicious on the shelf for up to three months!",,38,08/0867be52b2686ce648c4314a01d3e7f442d89659.jpg,https://images.weedmaps.com/brands/000/002/548/avatar/original/zapt_logo.jpg,,Zapt Foods,5,2,zapt-foods,,https://weedmaps.com/brands/zapt-foods,,,,,,,,,,,,
7210,"Zauber – Blüten Hanf GmbH
 
Unser Team besteht aus vier jungen und motivierten Persönlichkeiten, die den Mut gefasst haben, sich selbstständig und somit unabhängig zu machen.
 
Wir von der Zauber - Blüten Hanf GmbH stehen für einwandfreie Qualität und unverkennbaren Genuss der einzigartigen CBD-Produkten.
 
Für uns steht die Qualität der Hanfpflanzen im Vordergrund. Wir wollen keine überdüngten oder schlecht ausgewaschenen Produkte auf den Marktbringen. Qualität kommt vor Quantität!
 
 
 
Vision
 
Unsere Vision ist es, dass CBD langfristig auf dem Markt als medizinisches Produkt bestehen und akzeptiert wird. Wir wollen einen Beitrag zur natürlichen Gesundheit leisten und eine Alternative zu den chemisch-synthetischen Medikamenten auf dem Markt bieten.
 
Wir sind überzeugt, dass wir nur so uns und unsere qualitätsbewussteKundschaft zufriedenstellen. 
 
 
 
Unternehmensziel
 
Unser Ziel ist es, die lange verurteilte Hanfpflanze und ihre schier unendlich positiven Eigenschaften für die breite Öffentlichkeit zugänglich zu machen. Wir wollen mit unseren qualitativ hochwertigen Produkten vorrangig den Schweizer Markt, nach und nach allerdings auch unsere Nachbarmärkte erobern.
 
Nachhaltigkeit ist das Schlüsselwort! Wir produzieren natürlich und setzen Rohstoffe bewusst und effizient ein.
 
 
 
So gewähren wir eine natur-verträgliche Produktion und setzen langfristige ökologische und ökonomische Ziele um.
 
 
 
Rechtliches
 
Die Zauber - Blüten Hanf GmbH weist ausdrücklich darauf hin, dass das Rauchen schädlich ist. CBD Produkte dürfen nur an Personen abgegeben werden, welche das 18. Lebensjahr erreicht oder überschritten haben. Stecklinge dürfen nur für den Indoor Anbau und ausserhalb der Landwirtschaftszone bezogen werden. Sie können die, dem CBD nachgesagten Wirkungen und deren Studien bei den gängigen Informationskanälen selber nachschlagen. Da es sich um ein Naturprodukt handelt, kann es optisch und geruchliche Abweichungen geben.
 
Die Zauber - Blüten Hanf GmbH garantiert stets einwandfreie Ware, und 
 
übernimmt somit eine Qualitätsgarantie.",,7,ff/ff6593597638067e3c38e2e6f06b134a655038eb.jpg,https://images.weedmaps.com/brands/000/007/210/avatar/original/1559084134-fullsizeoutput_80.jpeg,,Zauber - Blüten,0,0,zauber-bluten,,https://weedmaps.com/brands/zauber-bluten,,,,,,,,,,,,
1942,"Health-focused alternatives
 
 
 
Zendo is the collision of two healthful components in one product. With their line of delicious edibles, folks that enjoy Zendo don’t have to choose between all natural relief and healthy snacks.
 
 
 
The Zendo team is dedicated to crafting edibles that promote an organic lifestyle, empowering individuals to medicate mindfully. Zendo’s mission is to assist the cannabis community on their journey to higher healing.
 
 
 
History
 
The founder of Zendo was born into the cannabis community. Her family is long-standing medical cannabis advocates, and her sister even operates a cannabusiness of her own. As the more health conscious of the family, Zendo was an extension of her passion for natural wellness. There weren’t many organic options on the market and she wanted to create something that makes the most of her passion and connects with others. She developed her first products and right away got extremely positive feedback, it was time to debut her creations. Zendo launched in February 2017 and has elevated the standard for cannabis-infused edibles.
 
 
 
Process
 
Zendo products are a combination of medical grade cannabis oil paired with various natural ingredients, rendering edibles with synergistic benefits. All cannabis oils are lab tested before infusion. The final product is then full panel tested by CW Analytics, all Lab test results are posted on Zendo’s website.
 
 
 
Products
 
Not only does Zendo offer healthy edibles crafted with the highest quality standards, but they also come in fun and sophisticated packaging.
 
 
 
Snack your way to wellness with one of Zendo’s infused almonds, offered in two flavors: Spicy Sea Salt Almonds, and 2017 High Times SoCal Cannabis Cup winner Honey Cocoa Almonds. Each contains a total of 100 mg of active THC in delicious, organic and gluten-free edibles.
 
 
 
Infused almonds aren’t the only tasty and healthful option. Zendo offer Infused Coconut Oil which contains 60 mg of THC and infused Peanut Butter with 50 mg of THC. With these options users can cook or create a simple snack or medicated meal.",,489,b2/b2ede654b4ca2bd713b3f7c12ddb32ce8375624e.jpg,https://images.weedmaps.com/brands/000/001/942/avatar/original/zendo_logo.jpg,,Zendo,4.54545450210571,4,zendo,,https://weedmaps.com/brands/zendo,,,,,,,,,,,,
4907,"Zen Extracts is a Southern California extraction company specializing in processing the highest quality live marijuana into a variety of different concentrates. “Live Resin” is the term we use to describe our products because the material is extracted while the plant is “Alive” to capture the purest essence of the plant. We specialize in solvent and non-solvent extractions based on how the resin wants to be captured. Focusing on creating multiple consistencies to please any connoisseur with our live resin badder, live resin sauce, and live hash rosin.",,521,39/391ad326f248412ba8ef9551cd8d8161bdfdc85c.jpg,https://images.weedmaps.com/brands/000/004/907/avatar/original/1544561816-avatar__2_.jpg,,Zen Extracts,4.94999980926514,9,zen-extracts,,https://weedmaps.com/brands/zen-extracts,,,,,,,,,,,,
11757,Zenoa has built its reputation for being a top tier cannabis cultivation facility. We put everything second to quality and we were founded on the love of the plant. Founded and owned solely by prior caregivers who have dedicated their entire adult lives to growing the best cannabis possible.,,310,40/4076f6e98bd1aeb0c20f489b6a984c6bc158b9ab.jpg,https://images.weedmaps.com/brands/000/011/757/avatar/original/1644534439-image0.jpeg,@zenoacanna,Zenoa,5,1,zenoa,,https://weedmaps.com/brands/zenoa,https://www.zenoacanna.com,,,,,,,,,,,
6889,"Zero Gravity Extracts has a combined 30+ years cultivating Maine medical marijuana. We process this fine cannabis into craft cannabis concentrates. As we enter the era of recreational legalization, quality and customer satisfaction is our company’s ethos.

Stellar cannabis concentrates starts with the finest inputs, our Maine grown craft cannabis. Maine is known the country over for quality craftsmanship in everything we do. Be it boat building, lobstering & fishing, blueberry and vegetable farming, on and on… And of course having the best medical marijuana program in the country. Maine was one of the first states to adopt medical marijuana and we have been honing our craft ever since. The farmers at Zero Gravity Extract are essential in providing the end result, the best cannabis concentrates on the market.

Zero Gravity Extracts is a premier cannabis concentrates & flower company headquartered in Saco Maine. Maine’s marijuana program for caregivers and patients is the best in the country with Maine recreational marijuana is right around the corner. Zero Gravity will also be participating in Maine’s recreational cannabis industry by pushing the boundaries of what cannabis flower & concentrates can be. We are equipped with a state of the art 12,000 sq. ft. grow facility and State of Maine certified C1D1 extraction facility. Our cannabis business is 100% vertically integrated.

If you are a cannabis consumer take advantage of our marijuana delivery services. If you are a caregiver storefront or recreational cannabis retail location please reach out, we are always looking for new partners! It’s all about quality and customer service.




Check out our branded gear exclusively available at: https://www.zerogravmerch.com/




UPDATE: For compliance, we can no longer sell Pre-rolls and Carts to anyone under 21 years old.",zerogravityextracts,3848,02/02348af846927f890e417923552a63a4bc36dd85.jpg,https://images.weedmaps.com/brands/000/006/889/avatar/original/1557165306-spaceman_label-01.png,zerogravitycannabis,Zero Gravity Extracts,4.81952667236328,91,zero-gravity-extracts,zerogravity76,https://weedmaps.com/brands/zero-gravity-extracts,www.zerogravityextracts.com,,,,,,,,,,,
7936,"For maximum quality and potency, Zeus CBD is produced in an FDA Registered Facility and formulated from 99.99% pure CBD isolate. We hold ourselves to the highest standards, like the Greek Gods are watching over us.",,29,43/430e53c59fc997cb542ebfdb0f343dd0a2b16b0c.jpg,https://images.weedmaps.com/brands/000/007/936/avatar/original/1567725652-zlogo-01.png,,Zeus CBD,4.97368431091309,31,zeus-cbd,,https://weedmaps.com/brands/zeus-cbd,,,,,,,,,,,,
11726,"Brand Bio/Mission Statement goes here




*Must be at least 50 characters long*",,44,ac/ac2b69a5fbb86b36af8bb11023ce70291a38d1a2.jpg,https://images.weedmaps.com/brands/000/011/726/avatar/original/1613624101-Screenshot_2020-02-21_HOME_ZIGGYZ_CANNABIS_CO.jpg,,Ziggyz Pharms,0,0,ziggyz-pharms,,https://weedmaps.com/brands/ziggyz-pharms,,,,,,,,,,,,
10478,"The brand, Vararo, is an unclaimed brand profile. The products, descriptions, and their metadata are aggregated from various sources and are not maintained by Weedmaps or the brand.",,0,db/db47d38af5a0eaf689a7f79f3473f24a31074c43.jpg,https://images.weedmaps.com/brands/000/010/478/avatar/original/1590014172-image_missing.jpg,,Vararo,0,0,vararo,,https://weedmaps.com/brands/vararo,,,,,,,,,,,,
6566,"Variety of Cannabis offers the best cannabis seeds from around the world. It is our mission to find, preserve, and further enhance cannabis-genetics.",https://www.facebook.com/Variety-of-Cannabis-830899370375732/,40,6e/6e4d77f87e8c790f519a109d334c190396dd9991.jpg,https://images.weedmaps.com/brands/000/006/566/avatar/original/1553708599-logo.jpg,,Variety of Cannabis,0,0,variety-of-cannabis,https://twitter.com/VOC_Semilla_SL,https://weedmaps.com/brands/variety-of-cannabis,"https://www.varietyofcannabis.es, https://www.varietyofcannabis.com",,,,,,,,,,,
